Gene	data1	random_number
group_871	gene	1402
group_3226	gene	1403
group_3324	gene	1404
nhaK	gene	1405
group_3875	gene	1406
group_4028	gene	1407
group_4291	gene	1408
capA	gene	1409
glgC	gene	1410
group_2472	gene	1411
pulA	gene	1412
mepA	gene	1413
speA	gene	1414
group_4212	gene	1415
yicL_1	gene	1416
group_2752	gene	1417
ktrB	gene	1418
group_457	gene	1419
group_2753	gene	1420
group_2105	gene	1421
group_2648	gene	1422
group_5400	gene	1423
group_2462	gene	1424
group_3219	gene	1425
group_8414	gene	1426
group_2519	gene	1427
group_4887	gene	1428
soxS	gene	1429
pepV	gene	1430
group_1401	gene	1431
group_1079	gene	1432
group_3268	gene	1433
group_3660	gene	1434
group_4872	gene	1435
nanB	gene	1436
smc_1	gene	1437
group_216	gene	1438
group_2407	gene	1439
lytB_1	gene	1440
group_3271	gene	1441
slmA	gene	1442
asnA	gene	1443
group_3678	gene	1444
group_2123	gene	1445
group_3184	gene	1446
glf_2	gene	1447
group_3337	gene	1448
group_5196	gene	1449
group_2442	gene	1450
group_1669	gene	1451
leuD	gene	1452
rsmD	gene	1453
pinR	gene	1454
ald_1	gene	1455
coaD	gene	1456
group_2998	gene	1457
yesO_2	gene	1458
group_4453	gene	1459
lplT	gene	1460
groL	gene	1461
group_4700	gene	1462
group_768	gene	1463
ycsE	gene	1464
group_4227	gene	1465
group_952	gene	1466
group_1132	gene	1467
yecS_2	gene	1468
group_3656	gene	1469
group_542	gene	1470
group_8239	gene	1471
bbmA	gene	1472
lytB_4	gene	1473
group_1390	gene	1474
group_3840	gene	1475
bglA_2	gene	1476
group_3709	gene	1477
group_3978	gene	1478
group_1005	gene	1479
dhaM	gene	1480
galE	gene	1481
group_2136	gene	1482
group_4426	gene	1483
group_5434	gene	1484
iga_1	gene	1485
group_4326	gene	1486
doc	gene	1487
yvgN	gene	1488
group_3450	gene	1489
ptsG_2	gene	1490
mutX_2	gene	1491
group_5995	gene	1492
dltA	gene	1493
group_3891	gene	1494
group_1048	gene	1495
group_1066	gene	1496
dinG	gene	1497
group_824	gene	1498
group_1409	gene	1499
axe1-6A_2	gene	1500
mta	gene	1501
kstR2	gene	1502
nirC	gene	1503
phnV	gene	1504
group_4874	gene	1505
group_854	gene	1506
rizA	gene	1507
group_2587	gene	1508
pabB	gene	1509
inlJ	gene	1510
xerC_1	gene	1511
ricR	gene	1512
rbsR	gene	1513
gpsB	gene	1514
hemH	gene	1515
group_5291	gene	1516
comC1	gene	1517
ydaF_2	gene	1518
ycjP_2	gene	1519
group_4781	gene	1520
group_548	gene	1521
comEC	gene	1522
group_2605	gene	1523
group_4749	gene	1524
mutL	gene	1525
map_2	gene	1526
group_3375	gene	1527
blaSE	gene	1528
group_2606	gene	1529
menH	gene	1530
amyX	gene	1531
miaB	gene	1532
group_2121	gene	1533
nfrA2	gene	1534
group_8418	gene	1535
rlmCD_2	gene	1536
ycfH	gene	1537
group_5429	gene	1538
yteP_1	gene	1539
treP	gene	1540
group_4615	gene	1541
kcsA	gene	1542
ponA	gene	1543
group_3719	gene	1544
tsaB	gene	1545
rebM	gene	1546
group_4648	gene	1547
group_77	gene	1548
queF	gene	1549
lacR_1	gene	1550
bcgIB	gene	1551
rsmF	gene	1552
group_1546	gene	1553
hasB	gene	1554
yhjX	gene	1555
group_2977	gene	1556
group_5136	gene	1557
macB_1	gene	1558
artP_1	gene	1559
group_4346	gene	1560
group_956	gene	1561
bshA	gene	1562
ecfT_3	gene	1563
corA	gene	1564
group_3998	gene	1565
pepX	gene	1566
clpE	gene	1567
group_2233	gene	1568
group_3227	gene	1569
group_3531	gene	1570
group_3847	gene	1571
group_2293	gene	1572
group_2729	gene	1573
celA_1	gene	1574
sstT	gene	1575
group_1193	gene	1576
dpnC	gene	1577
lnpD_1	gene	1578
group_202	gene	1579
group_4248	gene	1580
prmC	gene	1581
group_2217	gene	1582
group_8211	gene	1583
group_1973	gene	1584
glnH_2	gene	1585
yhdG	gene	1586
group_2960	gene	1587
dps	gene	1588
bceB	gene	1589
glpE_1	gene	1590
group_8354	gene	1591
gatA_1	gene	1592
tabA_2	gene	1593
group_8349	gene	1594
hflK	gene	1595
group_88	gene	1596
group_2957	gene	1597
malX	gene	1598
lacE_1	gene	1599
group_2356	gene	1600
group_435	gene	1601
pfbA	gene	1602
group_2609	gene	1603
group_2733	gene	1604
group_2850	gene	1605
group_2070	gene	1606
group_2568	gene	1607
group_4246	gene	1608
bmrA	gene	1609
group_4357	gene	1610
group_789	gene	1611
prtP	gene	1612
group_2819	gene	1613
group_1635	gene	1614
rfbC	gene	1615
rmlB	gene	1616
group_3897	gene	1617
yjaB	gene	1618
group_4665	gene	1619
group_3904	gene	1620
levE	gene	1621
group_1287	gene	1622
group_2543	gene	1623
rlmN	gene	1624
group_2556	gene	1625
sacA	gene	1626
nagC	gene	1627
mutX_1	gene	1628
group_272	gene	1629
group_3035	gene	1630
fucA	gene	1631
group_3433	gene	1632
cpsB	gene	1633
group_2594	gene	1634
group_2840	gene	1635
group_1257	gene	1636
group_2971	gene	1637
group_4462	gene	1638
group_3901	gene	1639
group_654	gene	1640
group_3294	gene	1641
arcC1	gene	1642
group_2582	gene	1643
panM	gene	1644
fucU	gene	1645
group_55	gene	1646
rhaB	gene	1647
group_130	gene	1648
nfr1	gene	1649
agrA_2	gene	1650
group_1783	gene	1651
group_2386	gene	1652
znuA_1	gene	1653
group_2995	gene	1654
yknX	gene	1655
group_5402	gene	1656
wfgD	gene	1657
yhdJ	gene	1658
group_2411	gene	1659
hsdR	gene	1660
epsL	gene	1661
group_1844	gene	1662
group_2198	gene	1663
group_967	gene	1664
group_2261	gene	1665
group_636	gene	1666
lagD_2	gene	1667
leuA_1	gene	1668
group_1505	gene	1669
group_2947	gene	1670
group_579	gene	1671
group_1285	gene	1672
group_1032	gene	1673
comC	gene	1674
hisS	gene	1675
group_3319	gene	1676
lytA_2	gene	1677
ykfA	gene	1678
group_1576	gene	1679
gmuD_2	gene	1680
group_1954	gene	1681
lafA	gene	1682
ruvB	gene	1683
group_3555	gene	1684
group_4637	gene	1685
group_1421	gene	1686
group_4885	gene	1687
group_1999	gene	1688
nagC_2	gene	1689
group_105	gene	1690
axeA	gene	1691
group_1683	gene	1692
lacG_1	gene	1693
group_5406	gene	1694
group_1068	gene	1695
group_996	gene	1696
catE	gene	1697
lysS	gene	1698
group_2286	gene	1699
rppH	gene	1700
group_1209	gene	1701
group_2237	gene	1702
group_1348	gene	1703
ulaA_1	gene	1704
group_4421	gene	1705
licC_2	gene	1706
group_3290	gene	1707
group_922	gene	1708
clpC_1	gene	1709
trmFO	gene	1710
menG	gene	1711
group_82	gene	1712
potA_1	gene	1713
group_2576	gene	1714
cdhR	gene	1715
group_2494	gene	1716
group_4443	gene	1717
group_1292	gene	1718
uvrB_2	gene	1719
ptsG_1	gene	1720
eabC	gene	1721
group_1441	gene	1722
argG	gene	1723
nnrD	gene	1724
group_2228	gene	1725
rmlD	gene	1726
group_115	gene	1727
ndvA	gene	1728
group_3197	gene	1729
glf_1	gene	1730
glnM_2	gene	1731
msbA	gene	1732
group_509	gene	1733
iga_3	gene	1734
acpP_2	gene	1735
group_1358	gene	1736
rclA	gene	1737
group_4353	gene	1738
oppD	gene	1739
glpK	gene	1740
group_1317	gene	1741
fucI	gene	1742
rsmB	gene	1743
group_1351	gene	1744
acpP_1	gene	1745
xerC_3	gene	1746
group_4911	gene	1747
group_8369	gene	1748
group_1470	gene	1749
group_2751	gene	1750
group_91	gene	1751
group_196	gene	1752
group_764	gene	1753
ubiG	gene	1754
group_2099	gene	1755
group_3708	gene	1756
group_4241	gene	1757
tcyB	gene	1758
group_1979	gene	1759
group_2818	gene	1760
pkn1	gene	1761
group_337	gene	1762
iga_2	gene	1763
hlyB	gene	1764
rpoB	gene	1765
ybiT_1	gene	1766
group_4441	gene	1767
group_1581	gene	1768
group_3600	gene	1769
group_5451	gene	1770
group_1483	gene	1771
group_2421	gene	1772
group_3737	gene	1773
group_1769	gene	1774
pezA	gene	1775
group_2668	gene	1776
licR_1	gene	1777
group_1145	gene	1778
ygaZ	gene	1779
pezT	gene	1780
group_2640	gene	1781
group_3436	gene	1782
alaA	gene	1783
group_1468	gene	1784
treR	gene	1785
group_4413	gene	1786
group_5169	gene	1787
group_69	gene	1788
group_988	gene	1789
group_1060	gene	1790
group_1583	gene	1791
rapA	gene	1792
group_2827	gene	1793
haeIIIM	gene	1794
group_3096	gene	1795
group_134	gene	1796
natA_1	gene	1797
group_861	gene	1798
group_4236	gene	1799
epsH	gene	1800
celD	gene	1801
rny	gene	1802
patA_1	gene	1803
group_1188	gene	1804
group_1678	gene	1805
group_2393	gene	1806
group_3720	gene	1807
group_442	gene	1808
group_816	gene	1809
gatA_2	gene	1810
group_2722	gene	1811
group_3218	gene	1812
group_4591	gene	1813
group_1424	gene	1814
group_2522	gene	1815
group_2632	gene	1816
group_2807	gene	1817
group_1200	gene	1818
yxdL_1	gene	1819
btrD	gene	1820
group_926	gene	1821
group_2394	gene	1822
group_45	gene	1823
group_4506	gene	1824
manP	gene	1825
group_1339	gene	1826
group_2162	gene	1827
group_3437	gene	1828
group_5622	gene	1829
leuB	gene	1830
group_1518	gene	1831
ptsN	gene	1832
group_4884	gene	1833
group_5428	gene	1834
yoeB	gene	1835
ptsP	gene	1836
group_1825	gene	1837
dinB	gene	1838
radD	gene	1839
group_1922	gene	1840
group_1949	gene	1841
lagD_1	gene	1842
mngA	gene	1843
group_1051	gene	1844
group_2667	gene	1845
group_4667	gene	1846
group_100	gene	1847
yxlF	gene	1848
group_312	gene	1849
alsE	gene	1850
group_860	gene	1851
group_2416	gene	1852
group_5417	gene	1853
tkt_3	gene	1854
group_862	gene	1855
group_1482	gene	1856
group_3601	gene	1857
group_3804	gene	1858
group_2348	gene	1859
group_1773	gene	1860
group_2946	gene	1861
group_3871	gene	1862
group_4306	gene	1863
group_2817	gene	1864
group_1142	gene	1865
group_2492	gene	1866
pepE	gene	1867
lipO	gene	1868
group_1378	gene	1869
group_316	gene	1870
tcyC_2	gene	1871
phnV_2	gene	1872
group_2236	gene	1873
gspA_4	gene	1874
group_4625	gene	1875
group_567	gene	1876
acpA_2	gene	1877
group_1098	gene	1878
group_2227	gene	1879
group_2771	gene	1880
group_1617	gene	1881
group_2173	gene	1882
group_4323	gene	1883
group_1120	gene	1884
group_3356	gene	1885
group_4354	gene	1886
group_4654	gene	1887
lytB_6	gene	1888
group_4552	gene	1889
bbmA_2	gene	1890
group_3196	gene	1891
group_4168	gene	1892
group_4466	gene	1893
mtlD	gene	1894
group_3199	gene	1895
mtlF	gene	1896
ydcP_2	gene	1897
group_2223	gene	1898
ywqC	gene	1899
group_1161	gene	1900
group_158	gene	1901
group_2956	gene	1902
group_3418	gene	1903
group_1038	gene	1904
group_1144	gene	1905
group_1439	gene	1906
group_2167	gene	1907
group_1679	gene	1908
group_2907	gene	1909
ydhF	gene	1910
group_1220	gene	1911
group_2717	gene	1912
group_2789	gene	1913
group_3222	gene	1914
mtlR	gene	1915
potA_2	gene	1916
tcyC	gene	1917
group_2319	gene	1918
group_385	gene	1919
group_2927	gene	1920
group_2935	gene	1921
group_2984	gene	1922
hsdS	gene	1923
group_8365	gene	1924
group_1231	gene	1925
group_3362	gene	1926
group_1195	gene	1927
group_2079	gene	1928
group_2690	gene	1929
group_3354	gene	1930
group_4073	gene	1931
group_826	gene	1932
group_4113	gene	1933
group_4349	gene	1934
hsdS_2	gene	1935
group_1349	gene	1936
group_2470	gene	1937
group_4308	gene	1938
mobA	gene	1939
group_4912	gene	1940
group_1399	gene	1941
efeN	gene	1942
group_2749	gene	1943
xerC_2	gene	1944
yheS_2	gene	1945
group_960	gene	1946
group_3291	gene	1947
cmpC	gene	1948
group_525	gene	1949
group_1959	gene	1950
group_4059	gene	1951
group_5999	gene	1952
group_5419	gene	1953
group_6000	gene	1954
lsrC	gene	1955
group_1620	gene	1956
group_3411	gene	1957
group_353	gene	1958
bglK_3	gene	1959
group_4408	gene	1960
group_4409	gene	1961
group_4933	gene	1962
ntpD	gene	1963
group_5421	gene	1964
group_5619	gene	1965
nanA_3	gene	1966
ntpK	gene	1967
ntpA	gene	1968
group_1130	gene	1969
group_1745	gene	1970
group_2180	gene	1971
group_2577	gene	1972
group_2898	gene	1973
group_4689	gene	1974
nanB_2	gene	1975
ntpC	gene	1976
group_5420	gene	1977
atpE_1	gene	1978
group_587	gene	1979
group_5893	gene	1980
ntpG	gene	1981
ntpB	gene	1982
group_1072	gene	1983
group_3749	gene	1984
cpsD	gene	1985
group_565	gene	1986
iolX_2	gene	1987
group_2044	gene	1988
tabA_3	gene	1989
group_711	gene	1990
group_2019	gene	1991
group_229	gene	1992
group_2453	gene	1993
fruA_1	gene	1994
group_3467	gene	1995
group_4825	gene	1996
group_1314	gene	1997
group_187	gene	1998
group_1904	gene	1999
group_3703	gene	2000
mnaA	gene	2001
group_5093	gene	2002
group_1042	gene	2003
group_2405	gene	2004
group_3320	gene	2005
rpiR	gene	2006
group_4407	gene	2007
tagA	gene	2008
ugd	gene	2009
nanE_2	gene	2010
group_1983	gene	2011
group_4029	gene	2012
group_408	gene	2013
rmlA	gene	2014
group_3317	gene	2015
group_1643	gene	2016
group_2905	gene	2017
group_436	gene	2018
ftsH4	gene	2019
group_1824	gene	2020
group_498	gene	2021
lytA_3	gene	2022
group_1506	gene	2023
group_259	gene	2024
group_1296	gene	2025
group_3003	gene	2026
group_3610	gene	2027
group_2016	gene	2028
manR	gene	2029
sugB	gene	2030
group_846	gene	2031
group_2409	gene	2032
group_2805	gene	2033
group_4402	gene	2034
group_634	gene	2035
group_2288	gene	2036
group_2683	gene	2037
group_3065	gene	2038
araP	gene	2039
group_1118	gene	2040
group_2449	gene	2041
group_3760	gene	2042
immR	gene	2043
group_4818	gene	2044
group_1219	gene	2045
group_1258	gene	2046
group_1853	gene	2047
group_2000	gene	2048
group_2076	gene	2049
group_2769	gene	2050
group_3726	gene	2051
spsB_2	gene	2052
group_428	gene	2053
group_4350	gene	2054
group_1206	gene	2055
group_1881	gene	2056
group_239	gene	2057
group_4013	gene	2058
group_8322	gene	2059
group_3295	gene	2060
group_514	gene	2061
group_1225	gene	2062
group_1558	gene	2063
group_1757	gene	2064
group_3902	gene	2065
group_8320	gene	2066
group_1077	gene	2067
group_193	gene	2068
group_1322	gene	2069
group_1374	gene	2070
group_902	gene	2071
group_1888	gene	2072
group_1898	gene	2073
group_2929	gene	2074
group_3452	gene	2075
group_4475	gene	2076
group_5459	gene	2077
group_5570	gene	2078
group_74	gene	2079
group_4066	gene	2080
group_107	gene	2081
rfbA	gene	2082
thiF	gene	2083
group_89	gene	2084
group_3102	gene	2085
group_4450	gene	2086
group_1148	gene	2087
group_1151	gene	2088
group_1340	gene	2089
group_221	gene	2090
group_2283	gene	2091
group_294	gene	2092
group_3712	gene	2093
group_4235	gene	2094
group_4444	gene	2095
group_92	gene	2096
sarA_4	gene	2097
group_3730	gene	2098
group_3845	gene	2099
yihX	gene	2100
group_5615	gene	2101
group_60	gene	2102
group_171	gene	2103
group_2542	gene	2104
group_4196	gene	2105
lolD	gene	2106
malI	gene	2107
group_450	gene	2108
group_5846	gene	2109
group_822	gene	2110
group_1727	gene	2111
group_3058	gene	2112
group_4871	gene	2113
group_5423	gene	2114
group_2046	gene	2115
group_369	gene	2116
group_3896	gene	2117
group_4084	gene	2118
group_5405	gene	2119
group_6001	gene	2120
group_17	gene	2121
group_2026	gene	2122
group_2894	gene	2123
group_150	gene	2124
group_2164	gene	2125
group_754	gene	2126
malK_1	gene	2127
group_270	gene	2128
group_390	gene	2129
group_1577	gene	2130
group_1633	gene	2131
group_2610	gene	2132
leuB_2	gene	2133
group_260	gene	2134
group_4078	gene	2135
group_5992	gene	2136
group_2299	gene	2137
group_4876	gene	2138
group_5414	gene	2139
group_5993	gene	2140
group_25	gene	2141
group_39	gene	2142
group_4778	gene	2143
group_5413	gene	2144
group_124	gene	2145
group_1586	gene	2146
group_4102	gene	2147
group_1603	gene	2148
group_1636	gene	2149
group_2822	gene	2150
group_2958	gene	2151
group_3071	gene	2152
group_758	gene	2153
group_1701	gene	2154
group_3451	gene	2155
group_4009	gene	2156
group_5431	gene	2157
toxA	gene	2158
group_8298	gene	2159
group_1366	gene	2160
bglA_1	gene	2161
group_3714	gene	2162
group_4006	gene	2163
group_4111	gene	2164
group_1298	gene	2165
group_1989	gene	2166
group_827	gene	2167
group_1619	gene	2168
group_2684	gene	2169
apaH	gene	2170
group_801	gene	2171
group_895	gene	2172
group_222	gene	2173
group_2549	gene	2174
group_4447	gene	2175
group_1199	gene	2176
group_1640	gene	2177
group_2033	gene	2178
group_2849	gene	2179
relA_2	gene	2180
group_5415	gene	2181
group_6078	gene	2182
intQ	gene	2183
group_387	gene	2184
group_6079	gene	2185
msbA_2	gene	2186
group_1826	gene	2187
group_2213	gene	2188
group_3701	gene	2189
group_447	gene	2190
pbpX_1	gene	2191
group_230	gene	2192
group_3168	gene	2193
group_4470	gene	2194
secA_2	gene	2195
group_4891	gene	2196
group_4938	gene	2197
group_500	gene	2198
gtf1	gene	2199
group_3758	gene	2200
group_1268	gene	2201
group_265	gene	2202
msmE_1	gene	2203
group_3731	gene	2204
group_3789	gene	2205
agaSK_1	gene	2206
group_6086	gene	2207
lmrA_1	gene	2208
group_8356	gene	2209
group_1306	gene	2210
group_3486	gene	2211
group_4969	gene	2212
group_5455	gene	2213
group_5559	gene	2214
ybbH_2	gene	2215
group_1641	gene	2216
group_2028	gene	2217
group_256	gene	2218
group_4247	gene	2219
araQ_2	gene	2220
group_4970	gene	2221
group_527	gene	2222
bltD	gene	2223
group_5516	gene	2224
group_5990	gene	2225
group_3090	gene	2226
group_3905	gene	2227
lmrA_2	gene	2228
group_756	gene	2229
group_8351	gene	2230
phnU	gene	2231
group_1122	gene	2232
group_2703	gene	2233
group_279	gene	2234
nisP	gene	2235
group_409	gene	2236
kpsT	gene	2237
group_496	gene	2238
group_5445	gene	2239
group_3912	gene	2240
group_4621	gene	2241
group_1013	gene	2242
group_179	gene	2243
group_3089	gene	2244
gutB	gene	2245
group_5849	gene	2246
group_8210	gene	2247
group_4056	gene	2248
group_439	gene	2249
group_5227	gene	2250
group_6012	gene	2251
group_798	gene	2252
group_799	gene	2253
group_2635	gene	2254
bglA	gene	2255
group_2689	gene	2256
group_2853	gene	2257
group_3782	gene	2258
group_4134	gene	2259
group_8256	gene	2260
Int-Tn_1	gene	2261
smc_2	gene	2262
group_3298	gene	2263
group_755	gene	2264
group_148	gene	2265
group_2032	gene	2266
group_2294	gene	2267
group_2976	gene	2268
group_3913	gene	2269
group_397	gene	2270
group_3974	gene	2271
group_4936	gene	2272
group_5450	gene	2273
group_5517	gene	2274
group_2056	gene	2275
group_2856	gene	2276
group_512	gene	2277
group_5883	gene	2278
group_710	gene	2279
dnaC_2	gene	2280
group_4129	gene	2281
asp3	gene	2282
group_5170	gene	2283
asp2	gene	2284
group_1405	gene	2285
group_3053	gene	2286
group_3775	gene	2287
group_5401	gene	2288
ltxB	gene	2289
group_1217	gene	2290
group_13	gene	2291
group_3522	gene	2292
group_3780	gene	2293
levS	gene	2294
group_5168	gene	2295
group_123	gene	2296
group_1962	gene	2297
group_321	gene	2298
group_3705	gene	2299
group_4211	gene	2300
group_5408	gene	2301
group_5410	gene	2302
group_730	gene	2303
group_991	gene	2304
group_218	gene	2305
group_2952	gene	2306
secY2	gene	2307
group_418	gene	2308
group_5409	gene	2309
dpnM	gene	2310
hsdS_1	gene	2311
group_6042	gene	2312
group_1119	gene	2313
group_1509	gene	2314
group_268	gene	2315
group_2784	gene	2316
group_1747	gene	2317
group_3228	gene	2318
mtlA	gene	2319
group_4242	gene	2320
group_4837	gene	2321
group_5221	gene	2322
group_5355	gene	2323
group_5357	gene	2324
dpnB	gene	2325
gtf2_3	gene	2326
dpnA	gene	2327
group_72	gene	2328
group_184	gene	2329
group_2361	gene	2330
group_2719	gene	2331
group_2872	gene	2332
group_5979	gene	2333
ltrA	gene	2334
group_151	gene	2335
group_1545	gene	2336
group_3838	gene	2337
group_4581	gene	2338
ftsK_1	gene	2339
group_5358	gene	2340
group_5359	gene	2341
group_5416	gene	2342
group_5942	gene	2343
iap	gene	2344
group_776	gene	2345
group_993	gene	2346
group_1743	gene	2347
gtf2_1	gene	2348
group_2704	gene	2349
group_4454	gene	2350
group_4892	gene	2351
group_4915	gene	2352
group_503	gene	2353
group_948	gene	2354
group_1067	gene	2355
group_1202	gene	2356
group_2776	gene	2357
epsJ_2	gene	2358
group_3273	gene	2359
group_4103	gene	2360
group_4142	gene	2361
group_5412	gene	2362
group_6081	gene	2363
group_108	gene	2364
group_215	gene	2365
group_3033	gene	2366
group_3419	gene	2367
group_4905	gene	2368
degA_2	gene	2369
group_4930	gene	2370
group_5411	gene	2371
group_5477	gene	2372
group_5565	gene	2373
group_5991	gene	2374
group_1820	gene	2375
group_3203	gene	2376
group_4159	gene	2377
group_4456	gene	2378
group_4472	gene	2379
group_4490	gene	2380
group_5440	gene	2381
group_6082	gene	2382
group_1965	gene	2383
group_363	gene	2384
group_4069	gene	2385
group_4104	gene	2386
group_419	gene	2387
group_5361	gene	2388
group_6080	gene	2389
group_2138	gene	2390
group_2656	gene	2391
group_3470	gene	2392
group_4399	gene	2393
Int-Tn_2	gene	2394
group_4888	gene	2395
group_5944	gene	2396
group_5945	gene	2397
group_909	gene	2398
group_1812	gene	2399
group_2120	gene	2400
group_3732	gene	2401
group_5360	gene	2402
epsH_1	gene	2403
group_248	gene	2404
group_2866	gene	2405
argH	gene	2406
group_3728	gene	2407
group_484	gene	2408
ssb_3	gene	2409
group_5444	gene	2410
group_5474	gene	2411
group_6020	gene	2412
group_838	gene	2413
group_1675	gene	2414
group_209	gene	2415
group_2695	gene	2416
group_5879	gene	2417
group_1073	gene	2418
group_1998	gene	2419
group_2289	gene	2420
fruA_2	gene	2421
group_5399	gene	2422
group_666	gene	2423
group_1229	gene	2424
group_2619	gene	2425
group_3409	gene	2426
group_4041	gene	2427
sarA_2	gene	2428
group_451	gene	2429
yxlF_1	gene	2430
group_1728	gene	2431
group_174	gene	2432
group_2312	gene	2433
group_3027	gene	2434
group_3083	gene	2435
group_4285	gene	2436
group_4750	gene	2437
group_4752	gene	2438
group_5382	gene	2439
group_695	gene	2440
group_1039	gene	2441
group_1211	gene	2442
group_1295	gene	2443
group_3024	gene	2444
group_4155	gene	2445
group_5379	gene	2446
group_852	gene	2447
group_879	gene	2448
group_2134	gene	2449
group_3360	gene	2450
group_3490	gene	2451
group_4468	gene	2452
group_4692	gene	2453
group_4895	gene	2454
erm	gene	2455
group_5446	gene	2456
group_5478	gene	2457
group_6084	gene	2458
group_623	gene	2459
group_116	gene	2460
group_2936	gene	2461
group_3946	gene	2462
group_4882	gene	2463
group_5422	gene	2464
group_6083	gene	2465
gspA_3	gene	2466
group_244	gene	2467
group_3687	gene	2468
group_2933	gene	2469
group_314	gene	2470
group_4448	gene	2471
group_4584	gene	2472
group_4678	gene	2473
group_4902	gene	2474
group_3599	gene	2475
group_3636	gene	2476
group_416	gene	2477
group_8296	gene	2478
group_1121	gene	2479
group_1308	gene	2480
spxA_3	gene	2481
group_2170	gene	2482
group_2829	gene	2483
group_3892	gene	2484
group_4465	gene	2485
group_638	gene	2486
group_1272	gene	2487
wbbI	gene	2488
group_4894	gene	2489
group_557	gene	2490
group_15	gene	2491
group_2561	gene	2492
tetM	gene	2493
group_3808	gene	2494
group_3921	gene	2495
group_5572	gene	2496
group_6274	gene	2497
group_1435	gene	2498
group_2063	gene	2499
group_2346	gene	2500
group_2467	gene	2501
group_2540	gene	2502
group_3724	gene	2503
group_4864	gene	2504
group_4985	gene	2505
group_5266	gene	2506
group_5457	gene	2507
group_1754	gene	2508
group_3080	gene	2509
group_3459	gene	2510
group_3771	gene	2511
glf	gene	2512
group_1426	gene	2513
group_1687	gene	2514
group_3114	gene	2515
group_4122	gene	2516
group_4478	gene	2517
group_5430	gene	2518
group_5460	gene	2519
group_5461	gene	2520
group_2265	gene	2521
group_4425	gene	2522
group_4519	gene	2523
group_541	gene	2524
group_6085	gene	2525
group_707	gene	2526
group_1642	gene	2527
group_1736	gene	2528
group_2252	gene	2529
group_2468	gene	2530
gtf2_2	gene	2531
group_372	gene	2532
group_4919	gene	2533
group_5493	gene	2534
group_6002	gene	2535
group_663	gene	2536
group_765	gene	2537
group_1172	gene	2538
group_1344	gene	2539
group_1746	gene	2540
group_192	gene	2541
group_2627	gene	2542
group_2983	gene	2543
group_313	gene	2544
group_3953	gene	2545
group_3979	gene	2546
group_5418	gene	2547
group_5996	gene	2548
group_5997	gene	2549
group_6013	gene	2550
group_6014	gene	2551
group_6015	gene	2552
group_6017	gene	2553
group_1009	gene	2554
galT_2	gene	2555
group_2274	gene	2556
group_3115	gene	2557
group_4503	gene	2558
group_5432	gene	2559
group_5566	gene	2560
group_655	gene	2561
group_1856	gene	2562
group_2832	gene	2563
group_333	gene	2564
group_3460	gene	2565
ptrB	gene	2566
group_5509	gene	2567
group_6016	gene	2568
group_6099	gene	2569
group_6100	gene	2570
group_1186	gene	2571
group_1713	gene	2572
group_1976	gene	2573
hpaIIM_2	gene	2574
lcnD_2	gene	2575
dnaD_2	gene	2576
group_3162	gene	2577
group_4451	gene	2578
group_4899	gene	2579
group_5527	gene	2580
group_757	gene	2581
group_1359	gene	2582
group_1391	gene	2583
group_1656	gene	2584
group_1970	gene	2585
ald	gene	2586
group_3464	gene	2587
group_4518	gene	2588
group_787	gene	2589
group_8241	gene	2590
group_173	gene	2591
group_1897	gene	2592
group_3066	gene	2593
group_3429	gene	2594
group_3515	gene	2595
group_4946	gene	2596
group_6022	gene	2597
group_6046	gene	2598
group_1000	gene	2599
group_1069	gene	2600
dpnA_1	gene	2601
group_224	gene	2602
group_2306	gene	2603
group_2316	gene	2604
lytB_7	gene	2605
group_4474	gene	2606
group_5453	gene	2607
bglH_1	gene	2608
group_3167	gene	2609
group_3738	gene	2610
group_3861	gene	2611
group_4863	gene	2612
epiD	gene	2613
relE	gene	2614
lysA_1	gene	2615
group_6154	gene	2616
group_624	gene	2617
group_2581	gene	2618
group_3152	gene	2619
group_4049	gene	2620
group_427	gene	2621
group_4471	gene	2622
group_4698	gene	2623
group_8419	gene	2624
group_1519	gene	2625
group_2782	gene	2626
group_3103	gene	2627
group_4116	gene	2628
group_4520	gene	2629
group_6019	gene	2630
group_829	gene	2631
group_1907	gene	2632
group_1990	gene	2633
group_2780	gene	2634
group_299	gene	2635
group_3427	gene	2636
group_3509	gene	2637
group_3559	gene	2638
xerC_4	gene	2639
group_5236	gene	2640
group_5380	gene	2641
group_5443	gene	2642
group_568	gene	2643
ytrE	gene	2644
group_766	gene	2645
group_1082	gene	2646
hlyB_2	gene	2647
lexA	gene	2648
group_50	gene	2649
group_5886	gene	2650
group_5887	gene	2651
group_5888	gene	2652
group_5961	gene	2653
group_1011	gene	2654
group_131	gene	2655
group_1362	gene	2656
group_2125	gene	2657
licC_5	gene	2658
group_4135	gene	2659
group_4460	gene	2660
fic	gene	2661
group_5378	gene	2662
group_5424	gene	2663
group_6005	gene	2664
group_117	gene	2665
group_172	gene	2666
group_2003	gene	2667
group_2067	gene	2668
group_3338	gene	2669
group_3376	gene	2670
group_4047	gene	2671
group_4422	gene	2672
group_4438	gene	2673
group_5376	gene	2674
group_5425	gene	2675
group_5998	gene	2676
group_6018	gene	2677
group_957	gene	2678
group_979	gene	2679
group_1951	gene	2680
group_205	gene	2681
group_2372	gene	2682
Int-Tn_3	gene	2683
group_3185	gene	2684
group_4881	gene	2685
group_6003	gene	2686
group_6007	gene	2687
group_6009	gene	2688
